book_id,search_key,book_title,book_subtitle,book_authors,book_publisher,book_description,industryIdentifiers,text_readingModes,image_readingModes,pageCount,categories,language,imageLinks,ratingsCount,averageRating,country,saleability,isEbook,amount_listPrice,currencyCode_listPrice,amount_retailPrice,currencyCode_retailPrice,buyLink,year
RQ6xDwAAQBAJ,history,"Automate the Boring Stuff with Python, 2nd Edition",Practical Programming for Total Beginners,Al Sweigart,No Starch Press,"Learn how to code while you write programs that effortlessly perform useful feats of automation! The second edition of this international fan favorite includes a brand-new chapter on input validation, Gmail and Google Sheets automations, tips for updating CSV files, and more. If you've ever spent hours renaming files or updating spreadsheet cells, you know how tedious tasks like these can be. But what if you could have your computer do them for you? Automate the Boring Stuff with Python, 2nd Edition teaches even the technically uninclined how to write programs that do in minutes what would take hours to do by hand—no prior coding experience required! This new, fully revised edition of Al Sweigart’s bestselling Pythonic classic, Automate the Boring Stuff with Python, covers all the basics of Python 3 while exploring its rich library of modules for performing specific tasks, like scraping data off the Web, filling out forms, renaming files, organizing folders, sending email responses, and merging, splitting, or encrypting PDFs. There’s also a brand-new chapter on input validation, tutorials on automating Gmail and Google Sheets, tips on automatically updating CSV files, and other recent feats of automations that improve your efficiency. Detailed, step-by-step instructions walk you through each program, allowing you to create useful tools as you build out your programming skills, and updated practice projects at the end of each chapter challenge you to improve those programs and use your newfound skills to automate similar tasks. Boring tasks no longer have to take to get through—and neither does learning Python!","9781593279936, 1593279930",True,False,593,Computers,en,http://books.google.com/books/content?id=RQ6xDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,FOR_SALE,True,2453.22,INR,2453.22,INR,https://play.google.com/store/books/details?id=RQ6xDwAAQBAJ&rdid=book-RQ6xDwAAQBAJ&rdot=1&source=gbs_api,2019
bIZHCgAAQBAJ,history,Fluent Python,"Clear, Concise, and Effective Programming",Luciano Ramalho,"""O'Reilly Media, Inc.""","Python’s simplicity lets you become productive quickly, but this often means you aren’t using everything it has to offer. With this hands-on guide, you’ll learn how to write effective, idiomatic Python code by leveraging its best—and possibly most neglected—features. Author Luciano Ramalho takes you through Python’s core language features and libraries, and shows you how to make your code shorter, faster, and more readable at the same time. Many experienced programmers try to bend Python to fit patterns they learned from other languages, and never discover Python features outside of their experience. With this book, those Python programmers will thoroughly learn how to become proficient in Python 3. This book covers: Python data model: understand how special methods are the key to the consistent behavior of objects Data structures: take full advantage of built-in types, and understand the text vs bytes duality in the Unicode age Functions as objects: view Python functions as first-class objects, and understand how this affects popular design patterns Object-oriented idioms: build classes by learning about references, mutability, interfaces, operator overloading, and multiple inheritance Control flow: leverage context managers, generators, coroutines, and concurrency with the concurrent.futures and asyncio packages Metaprogramming: understand how properties, attribute descriptors, class decorators, and metaclasses work","9781491946251, 1491946253",True,True,755,Computers,en,http://books.google.com/books/content?id=bIZHCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2,5,IN,NOT_FOR_SALE,False,,,,,,2015
igYvDwAAQBAJ,history,Python Crash Course,"A Hands-On, Project-Based Introduction to Programming",Eric Matthes,No Starch Press,"Python Crash Course is a fast-paced, thorough introduction to Python that will have you writing programs, solving problems, and making things that work in no time. In the first half of the book, you’ll learn about basic programming concepts, such as lists, dictionaries, classes, and loops, and practice writing clean and readable code with exercises for each topic. You’ll also learn how to make your programs interactive and how to test your code safely before adding it to a project. In the second half of the book, you’ll put your new knowledge into practice with three substantial projects: a Space Invaders–inspired arcade game, data visualizations with Python’s super-handy libraries, and a simple web app you can deploy online. As you work through Python Crash Course you’ll learn how to: –Use powerful Python libraries and tools, including matplotlib, NumPy, and Pygal –Make 2D games that respond to keypresses and mouse clicks, and that grow more difficult as the game progresses –Work with data to generate interactive visualizations –Create and customize Web apps and deploy them safely online –Deal with mistakes and errors so you can solve your own programming problems If you’ve been thinking seriously about digging into programming, Python Crash Course will get you up to speed and have you writing real programs fast. Why wait any longer? Start your engines and code! Uses Python 2 and 3","9781593277390, 1593277393",True,False,564,Computers,en,http://books.google.com/books/content?id=igYvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1,5,IN,NOT_FOR_SALE,False,,,,,,2015
nEJ-jcYF2fMC,history,Learning Python,,Mark Lutz,"""O'Reilly Media, Inc.""","Portable, powerful, and a breeze to use, Python is ideal for both standalone programs and scripting applications. With this hands-on book, you can master the fundamentals of the core Python language quickly and efficiently, whether you're new to programming or just new to Python. Once you finish, you will know enough about the language to use it in any application domain you choose. Learning Python is based on material from author Mark Lutz's popular training courses, which he's taught over the past decade. Each chapter is a self-contained lesson that helps you thoroughly understand a key component of Python before you continue. Along with plenty of annotated examples, illustrations, and chapter summaries, every chapter also contains Brain Builder, a unique section with practical exercises and review quizzes that let you practice new skills and test your understanding as you go. This book covers: Types and Operations -- Python's major built-in object types in depth: numbers, lists, dictionaries, and more Statements and Syntax -- the code you type to create and process objects in Python, along with Python's general syntax model Functions -- Python's basic procedural tool for structuring and reusing code Modules -- packages of statements, functions, and other tools organized into larger components Classes and OOP -- Python's optional object-oriented programming tool for structuring code for customization and reuse Exceptions and Tools -- exception handling model and statements, plus a look at development tools for writing larger programs Learning Python gives you a deep and complete understanding of the language that will help you comprehend any application-level examples of Python that you later encounter. If you're ready to discover what Google and YouTube see in Python, this book is the best way to get started.","9780596554491, 0596554494",True,True,749,Computers,en,http://books.google.com/books/content?id=nEJ-jcYF2fMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,26,4,IN,FOR_SALE,True,3235.55,INR,3235.55,INR,https://play.google.com/store/books/details?id=nEJ-jcYF2fMC&rdid=book-nEJ-jcYF2fMC&rdot=1&source=gbs_api,2007
S_SJ2LaZH8EC,history,Python Cookbook,Recipes for Mastering Python 3,"David Beazley, Brian K. Jones","""O'Reilly Media, Inc.""","If you need help writing programs in Python 3, or want to update older Python 2 code, this book is just the ticket. Packed with practical recipes written and tested with Python 3.3, this unique cookbook is for experienced Python programmers who want to focus on modern tools and idioms. Inside, youâ??ll find complete recipes for more than a dozen topics, covering the core Python language as well as tasks common to a wide variety of application domains. Each recipe contains code samples you can use in your projects right away, along with a discussion about how and why the solution works. Topics include: Data Structures and Algorithms Strings and Text Numbers, Dates, and Times Iterators and Generators Files and I/O Data Encoding and Processing Functions Classes and Objects Metaprogramming Modules and Packages Network and Web Programming Concurrency Utility Scripting and System Administration Testing, Debugging, and Exceptions C Extensions","9781449357351, 1449357350",True,True,1132,Computers,en,http://books.google.com/books/content?id=S_SJ2LaZH8EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,FOR_SALE,True,2950,INR,2950,INR,https://play.google.com/store/books/details?id=S_SJ2LaZH8EC&rdid=book-S_SJ2LaZH8EC&rdot=1&source=gbs_api,2013
bKUbEAAAQBAJ,history,Programming and Problem Solving using Python,,Anuradha A. Puntambekar,Technical Publications,"This textbook is designed to learn python programming from scratch. At the beginning of the book general problem solving concepts such as types of problems, difficulties in problem solving, and problem solving aspects are discussed. From this book, you will start learning the Python programming by knowing about the variables, constants, keywords, data types, indentation and various programming constructs. The most commonly used types such as Lists, Tuples, dictionaries are also discussed with necessary examples and illustrations. The book includes the concepts of functions, lambda functions, modules and strings. In the later part of this book the concept of object oriented programming using Python is discussed in detail. Finally how to handle files and directories using Python is discussed. At the end of book some sample programs in Python are given that are based on the programming constructs. Python will be most demanded language after Java in future. So learning Python is need for today’s software professionals. This book serves the purpose of teaching Python programming in the simplest and easiest manner.","9789333223829, 9333223827",False,True,235,Computers,en,http://books.google.com/books/content?id=bKUbEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,NOT_FOR_SALE,False,,,,,,2020
DjxZEAAAQBAJ,history,The Python Book,,Rob Mastrodomenico,John Wiley & Sons,"The Python Book Discover the power of one of the fastest growing programming languages in the world with this insightful new resource The Python Book delivers an essential introductory guide to learning Python for anyone who works with data but does not have experience in programming. The author, an experienced data scientist and Python programmer, shows readers how to use Python for data analysis, exploration, cleaning, and wrangling. Readers will learn what in the Python language is important for data analysis, and why. The Python Book offers readers a thorough and comprehensive introduction to Python that is both simple enough to be ideal for a novice programmer, yet robust to be useful for those more experienced in the language. The book assists budding programmers to gradually increase their skills as they move through the book, always with an understanding of what they are covering and why it is useful. Used by major companies like Google, Facebook, Instagram, Spotify, and more, Python promises to remain central to the programming landscape for years to come. Containing a thorough discussion of Python programming topics like variables, equalities and comparisons, tuple and dictionary data types, while and for loops, and if statements, readers will also learn: How to use highly useful Python programming libraries, including Pandas and Matplotlib How to write Python functions and classes How to write and use Python scripts To deal with different data types within Python Perfect for statisticians, computer scientists, software programmers, and practitioners working in private industry and medicine, The Python Book will also be of interest to students in any of the aforementioned fields. As it assumes no programming experience or knowledge, the book is ideal for those who work with data and want to learn to use Python to enhance their work.","9781119573289, 1119573289",True,True,348,Mathematics,en,http://books.google.com/books/content?id=DjxZEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,FOR_SALE,True,5800.88,INR,5800.88,INR,https://play.google.com/store/books/details?id=DjxZEAAAQBAJ&rdid=book-DjxZEAAAQBAJ&rdot=1&source=gbs_api,2022
BcN0swEACAAJ,history,Python Tricks,The Book,Dan Bader,Dan Bader,"""I don't even feel like I've scratched the surface of what I can do with Python"" With Python Tricks: The Book you'll discover Python's best practices and the power of beautiful & Pythonic code with simple examples and a step-by-step narrative. You'll get one step closer to mastering Python, so you can write beautiful and idiomatic code that comes to you naturally. Learning the ins and outs of Python is difficult-and with this book you'll be able to focus on the practical skills that really matter. Discover the ""hidden gold"" in Python's standard library and start writing clean and Pythonic code today. Who Should Read This Book: If you're wondering which lesser known parts in Python you should know about, you'll get a roadmap with this book. Discover cool (yet practical!) Python tricks and blow your coworkers' minds in your next code review. If you've got experience with legacy versions of Python, the book will get you up to speed with modern patterns and features introduced in Python 3 and backported to Python 2. If you've worked with other programming languages and you want to get up to speed with Python, you'll pick up the idioms and practical tips you need to become a confident and effective Pythonista. If you want to make Python your own and learn how to write clean and Pythonic code, you'll discover best practices and little-known tricks to round out your knowledge. What Python Developers Say About The Book: ""I kept thinking that I wished I had access to a book like this when I started learning Python many years ago."" - Mariatta Wijaya, Python Core Developer ""This book makes you write better Python code!"" - Bob Belderbos, Software Developer at Oracle ""Far from being just a shallow collection of snippets, this book will leave the attentive reader with a deeper understanding of the inner workings of Python as well as an appreciation for its beauty."" - Ben Felder, Pythonista ""It's like having a seasoned tutor explaining, well, tricks!"" - Daniel Meyer, Sr. Desktop Administrator at Tesla Inc.","1775093301, 9781775093305",False,False,302,Computers,en,http://books.google.com/books/content?id=BcN0swEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1,4,IN,NOT_FOR_SALE,False,,,,,,2017
6HgFEAAAQBAJ,history,Taming PYTHON By Programming,,Jeeva Jose,KHANNA PUBLISHING HOUSE,This is a great book for Python Beginner and Advanced Learner which covers Basics to Advanced Python Programming where each topic is explained with the help of Illustrations and Examples. More than 450 solved programs of this book are tested in Python 3.4.3 for windows. The range of Python Topics covered makes this book unique which can be used as a self study material or for instructor assisted teaching. This books covers Python Syllabus of all major national and international universities. Also it includes frequently asked questions for interviews and examination which are provided at the end of each chapter.,"9789386173348, 9386173344",False,True,346,Computers,en,http://books.google.com/books/content?id=6HgFEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,IN,FOR_SALE,True,395.3,INR,276.71,INR,https://play.google.com/store/books/details?id=6HgFEAAAQBAJ&rdid=book-6HgFEAAAQBAJ&rdot=1&source=gbs_api,
XAIHEAAAQBAJ,history,Learning Scientific Programming with Python,,Christian Hill,Cambridge University Press,"Learn to master basic programming tasks from scratch with real-life, scientifically relevant examples and solutions drawn from both science and engineering. Students and researchers at all levels are increasingly turning to the powerful Python programming language as an alternative to commercial packages and this fast-paced introduction moves from the basics to advanced concepts in one complete volume, enabling readers to gain proficiency quickly. Beginning with general programming concepts such as loops and functions within the core Python 3 language, and moving on to the NumPy, SciPy and Matplotlib libraries for numerical programming and data visualization, this textbook also discusses the use of Jupyter Notebooks to build rich-media, shareable documents for scientific analysis. The second edition features a new chapter on data analysis with the pandas library and comprehensive updates, and new exercises and examples. A final chapter introduces more advanced topics such as floating-point precision and algorithm stability, and extensive online resources support further study. This textbook represents a targeted package for students requiring a solid foundation in Python programming.","9781108787468, 1108787460",False,False,572,Science,en,http://books.google.com/books/content?id=XAIHEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,IN,NOT_FOR_SALE,False,,,,,,2020
